cluster,size,intra_mean
0,26,0.8895498514175415
1,21,0.842885434627533
2,14,0.8913103938102722
3,6,0.9407942295074463
4,22,0.8776427507400513
5,13,0.7963680624961853
6,52,0.8008007407188416
7,18,0.8836036920547485
8,24,0.8283870816230774
9,39,0.8825432658195496
10,15,0.8743923902511597
11,13,0.9696136116981506
12,12,0.8776866793632507
13,14,0.8588281869888306
14,27,0.8026090860366821
15,8,0.8138688206672668
16,11,0.966905415058136
17,9,0.8541854023933411
18,15,0.8815680146217346
19,58,0.9568365216255188
20,10,1.0
21,10,0.9670224785804749
22,19,0.8485477566719055
23,8,0.9054368138313293
24,15,0.8326084613800049
25,12,0.8917274475097656
26,7,0.9309508800506592
27,21,0.9583142995834351
28,8,0.8014683723449707
29,11,0.8546508550643921
30,11,0.8191162943840027
31,11,0.9247723817825317
32,14,0.8788266181945801
33,8,0.9539636969566345
34,12,0.913179337978363
35,4,0.867271900177002
36,7,1.0
37,15,0.8668535947799683
38,3,1.0000001192092896
39,11,1.0
40,5,0.9999998211860657
41,7,0.8365997076034546
42,6,0.8827537298202515
43,5,0.86455899477005
44,2,1.000000238418579
45,5,0.859453022480011
46,1,0.0
