record_index,cluster_kernel
0,13
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,0
9,1
10,6
11,8
12,9
13,10
14,11
15,12
16,2
17,9
18,26
19,6
20,5
21,13
22,33
23,12
24,15
25,8
26,16
27,17
28,18
29,10
30,1
31,18
32,19
33,20
34,19
35,21
36,22
37,9
38,7
39,13
40,19
41,19
42,19
43,0
44,9
45,16
46,23
47,8
48,2
49,24
50,25
51,9
52,14
53,14
54,14
55,14
56,0
57,12
58,26
59,27
60,28
61,24
62,7
63,29
64,15
65,29
66,30
67,27
68,5
69,18
70,11
71,11
72,31
73,13
74,32
75,33
76,6
77,-1
78,2
79,37
80,8
81,34
82,35
83,19
84,2
85,24
86,6
87,19
88,9
89,36
90,0
91,11
92,37
93,7
94,0
95,22
96,0
97,34
98,0
99,43
100,21
101,26
102,6
103,7
104,-1
105,34
106,38
107,39
108,19
109,36
110,20
111,15
112,27
113,31
114,4
115,6
116,14
117,30
118,11
119,8
120,24
121,20
122,28
123,9
124,17
125,45
126,40
127,19
128,19
129,19
130,14
131,6
132,19
133,7
134,23
135,41
136,17
137,12
138,19
139,18
140,0
141,16
142,28
143,20
144,36
145,22
146,31
147,0
148,6
149,0
150,41
151,1
152,0
153,8
154,42
155,29
156,7
157,9
158,37
159,29
160,4
161,19
162,16
163,0
164,19
165,8
166,36
167,1
168,39
169,18
170,9
171,10
172,6
173,25
174,2
175,42
176,18
177,6
178,19
179,1
180,13
181,29
182,31
183,21
184,23
185,31
186,4
187,6
188,19
189,21
190,19
191,5
192,29
193,19
194,6
195,19
196,39
197,8
198,7
199,31
200,10
201,6
202,15
203,14
204,19
205,24
206,37
207,29
208,10
209,7
210,19
211,10
212,11
213,19
214,9
215,6
216,8
217,42
218,19
219,22
220,1
221,4
222,6
223,13
224,27
225,0
226,6
227,39
228,4
229,30
230,6
231,27
232,19
233,45
234,16
235,37
236,45
237,39
238,9
239,0
240,6
241,28
242,14
243,19
244,5
245,21
246,22
247,19
248,8
249,41
250,6
251,27
252,18
253,28
254,11
255,14
256,19
257,11
258,19
259,5
260,37
261,6
262,2
263,0
264,30
265,25
266,40
267,37
268,21
269,19
270,14
271,-1
272,6
273,6
274,14
275,7
276,4
277,41
278,22
279,9
280,9
281,14
282,30
283,9
284,33
285,22
286,14
287,13
288,35
289,7
290,25
291,2
292,29
293,9
294,21
295,21
296,27
297,17
298,19
299,8
300,32
301,14
302,24
303,0
304,28
305,39
306,-1
307,3
308,33
309,20
310,6
311,0
312,2
313,12
314,16
315,2
316,16
317,20
318,27
319,23
320,-1
321,8
322,31
323,2
324,14
325,1
326,18
327,38
328,34
329,32
330,40
331,32
332,6
333,11
334,42
335,19
336,31
337,6
338,32
339,14
340,25
341,8
342,6
343,-1
344,4
345,9
346,16
347,6
348,19
349,24
350,35
351,23
352,18
353,12
354,14
355,1
356,24
357,24
358,17
359,9
360,21
361,14
362,24
363,3
364,19
365,6
366,27
367,7
368,18
369,19
370,24
371,9
372,25
373,36
374,33
375,34
376,37
377,18
378,10
379,22
380,12
381,19
382,22
383,36
384,27
385,1
386,6
387,32
388,43
389,7
390,9
391,8
392,5
393,14
394,1
395,19
396,1
397,7
398,6
399,36
400,-1
401,34
402,22
403,2
404,9
405,25
406,6
407,6
408,19
409,27
410,19
411,5
412,14
413,16
414,27
415,9
416,19
417,4
418,41
419,9
420,6
421,8
422,20
423,10
424,34
425,9
426,11
427,42
428,0
429,7
430,9
431,4
432,37
433,31
434,10
435,-1
436,27
437,12
438,32
439,8
440,42
441,32
442,32
443,24
444,0
445,7
446,32
447,9
448,4
449,12
450,30
451,33
452,5
453,11
454,18
455,6
456,30
457,41
458,6
459,9
460,2
461,38
462,10
463,32
464,3
465,9
466,19
467,1
468,9
469,12
470,9
471,1
472,8
473,22
474,37
475,4
476,13
477,34
478,35
479,27
480,9
481,32
482,6
483,17
484,9
485,5
486,27
487,4
488,5
489,9
490,19
491,-1
492,29
493,10
494,22
495,13
496,29
497,19
498,0
499,17
500,6
501,9
502,19
503,19
504,14
505,8
506,5
507,16
508,37
509,17
510,10
511,5
512,8
513,19
514,29
515,22
516,9
517,6
518,13
519,0
520,46
521,12
522,14
523,13
524,20
525,8
526,23
527,24
528,4
529,26
530,43
531,25
532,1
533,40
534,26
535,-1
536,15
537,15
538,37
539,39
540,6
541,18
542,23
543,39
544,34
545,1
546,7
547,15
548,4
549,34
550,6
551,40
552,23
553,30
554,45
555,24
556,19
557,6
558,43
559,44
560,13
561,27
562,27
563,9
564,24
565,30
566,17
567,37
568,20
569,4
570,8
571,22
572,9
573,31
574,37
575,32
576,4
577,0
578,22
579,7
580,30
581,19
582,3
583,33
584,14
585,10
586,19
587,18
588,14
589,8
590,8
591,4
592,0
593,33
594,16
595,9
596,21
597,44
598,1
599,9
600,34
601,2
602,1
603,6
604,31
605,39
606,22
607,25
608,6
609,11
610,32
611,14
612,25
613,26
614,22
615,6
616,4
617,8
618,28
619,19
620,6
621,39
622,6
623,26
624,45
625,22
626,6
627,25
628,15
629,19
630,34
631,0
632,0
633,6
634,19
635,10
636,19
637,18
638,1
639,19
640,6
641,11
642,27
643,14
644,27
645,14
646,20
647,4
648,27
649,19
650,22
651,19
652,41
653,9
654,3
655,25
656,27
657,1
658,12
659,0
660,4
661,6
662,19
663,6
664,28
665,19
666,39
667,37
668,13
669,1
670,4
671,30
672,43
673,10
674,13
